127.0.0.1 - - [25/Jun/2021:15:45:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Jun/2021:15:45:25 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [25/Jun/2021:15:45:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jun/2021:15:45:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jun/2021:15:46:30 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [25/Jun/2021:15:46:30 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [25/Jun/2021:15:47:01 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [25/Jun/2021:15:47:01 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [25/Jun/2021:15:55:59 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [25/Jun/2021:15:55:59 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [25/Jun/2021:15:58:38 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [25/Jun/2021:15:58:38 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [25/Jun/2021:15:58:59 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [25/Jun/2021:15:58:59 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [25/Jun/2021:16:00:51 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [25/Jun/2021:16:00:51 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [25/Jun/2021:16:01:33 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [25/Jun/2021:16:01:33 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [25/Jun/2021:16:03:03 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 1353
0:0:0:0:0:0:0:1 - - [25/Jun/2021:16:03:04 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 1353
0:0:0:0:0:0:0:1 - - [25/Jun/2021:16:05:25 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [25/Jun/2021:16:05:25 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [25/Jun/2021:16:05:48 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 1465
0:0:0:0:0:0:0:1 - - [25/Jun/2021:16:05:49 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 1465
0:0:0:0:0:0:0:1 - - [25/Jun/2021:16:12:56 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 1503
